Geneid gene_name AS-520695-LR-53526Aligned.sortedByCoord.out.bam AS-520698-LR-53526Aligned.sortedByCoord.out.bam AS-520694-LR-53526Aligned.sortedByCoord.out.bam AS-520699-LR-53526Aligned.sortedByCoord.out.bam AS-520697-LR-53526Aligned.sortedByCoord.out.bam AS-520696-LR-53526Aligned.sortedByCoord.out.bam
ENSMUSG00000104504 Gm7445 0 0 0 0 0 0
ENSMUSG00000066693 Gm7493 0 0 0 0 1 2
ENSMUSG00000102316 Gm37629 0 0 0 0 0 0
ENSMUSG00000103819 Gm38008 0 0 0 0 0 0
ENSMUSG00000102871 Gm37143 0 0 0 0 0 0
ENSMUSG00000101571 Gm6187 0 0 0 1 1 1
ENSMUSG00000104428 Gm18299 0 0 0 0 0 0
ENSMUSG00000102272 Gm7512 1 0 0 1 0 0
ENSMUSG00000065625 Gm24765 0 0 0 0 0 0
ENSMUSG00000103411 Gm18300 0 0 0 0 0 0
ENSMUSG00000061024 Rrs1 2755 1964 1894 3007 2983 3686
ENSMUSG00000025911 Adhfe1 35 48 27 51 29 32
ENSMUSG00000079671 2610203C22Rik 0 1 0 3 2 0
ENSMUSG00000081441 Gm6161 0 0 1 3 0 0
ENSMUSG00000067879 3110035E14Rik 0 0 0 0 0 0
ENSMUSG00000099827 Gm29520 0 0 0 0 0 0
ENSMUSG00000025912 Mybl1 139 78 145 219 234 296
ENSMUSG00000045210 Vcpip1 2426 1877 2239 2985 2190 2981
ENSMUSG00000097893 1700034P13Rik 17 41 35 22 17 35
ENSMUSG00000025915 Sgk3 72 193 220 141 88 236
ENSMUSG00000046334 Gm6195 5 4 6 4 4 0
ENSMUSG00000088916 Gm22607 0 0 0 0 0 0
ENSMUSG00000046101 Mcmdc2 0 0 2 0 0 0
ENSMUSG00000098234 Snhg6 793 767 828 829 794 967
ENSMUSG00000093178 Snord87 2 3 3 4 2 3
ENSMUSG00000099032 Tcf24 1 22 18 13 3 22
ENSMUSG00000104025 E330040D14Rik 0 0 0 1 0 0
ENSMUSG00000025916 Ppp1r42 0 1 1 0 0 0
ENSMUSG00000087199 Gm15818 0 0 0 0 0 0
ENSMUSG00000095780 Gm24674 0 0 0 0 0 0
ENSMUSG00000025917 Cops5 4152 4106 4001 5428 4167 4810
ENSMUSG00000056763 Cspp1 1594 1318 1593 1759 1633 2253
ENSMUSG00000102356 1700047N06Rik 0 0 0 0 0 0
ENSMUSG00000067851 Arfgef1 8722 7620 9204 12091 8821 12191
ENSMUSG00000088153 Gm26348 0 0 0 0 0 0
ENSMUSG00000102556 Gm37569 0 0 4 1 2 3
ENSMUSG00000042501 Cpa6 0 2 0 4 0 2
ENSMUSG00000103810 Gm38005 0 0 0 0 0 0
ENSMUSG00000083422 Gm15604 1 4 1 4 1 7
ENSMUSG00000094979 Gm25253 0 0 0 0 0 0
ENSMUSG00000081417 Gm15603 0 0 0 0 0 0
ENSMUSG00000103448 Gm37133 0 0 0 0 0 0
ENSMUSG00000100212 Gm5522 0 0 0 0 0 0
ENSMUSG00000100648 Gm28659 6 9 13 12 15 19
ENSMUSG00000088585 Gm22963 0 0 0 0 0 0
ENSMUSG00000048960 Prex2 4 2 2 2 0 2
ENSMUSG00000077318 Gm24173 0 0 0 0 0 0
ENSMUSG00000101827 Gm28686 23 17 19 28 20 24
ENSMUSG00000103494 Gm37410 0 0 0 0 0 0
ENSMUSG00000057715 A830018L16Rik 0 0 1 0 0 0
ENSMUSG00000103825 Gm38178 0 0 0 0 0 0
ENSMUSG00000099845 Gm29273 0 0 0 0 0 0
ENSMUSG00000103561 Gm38069 0 0 0 0 0 0
ENSMUSG00000101610 Gm7560 2 0 3 3 2 2
ENSMUSG00000093864 Gm22633 0 0 0 0 0 0
ENSMUSG00000098555 Mir6341 0 0 0 0 0 0
ENSMUSG00000097628 Gm2383 15 10 10 12 6 12
ENSMUSG00000098163 Gm6216 3 1 0 1 0 1
ENSMUSG00000097171 Gm17644 0 0 0 0 0 0
ENSMUSG00000101314 Gm29663 0 0 0 0 0 0
ENSMUSG00000016918 Sulf1 10 35 27 23 28 34
ENSMUSG00000025938 Slco5a1 17 2 4 10 15 2
ENSMUSG00000104518 Gm37162 0 0 0 0 0 0
ENSMUSG00000069620 Gm5250 0 0 0 0 0 0
ENSMUSG00000099498 Gm29283 0 0 0 0 0 0
ENSMUSG00000042414 Prdm14 7 4 5 6 8 1
ENSMUSG00000005886 Ncoa2 4275 3561 4041 5530 4150 5246
ENSMUSG00000103506 Gm38376 1 0 2 0 1 0
ENSMUSG00000103495 Gm37409 1 0 0 0 0 1
ENSMUSG00000099183 Gm27881 0 0 0 0 0 0
ENSMUSG00000102639 Gm38223 0 0 0 0 0 0
ENSMUSG00000104170 Gm37702 0 0 0 2 0 1
ENSMUSG00000087782 Gm23169 0 0 0 0 0 0
ENSMUSG00000103085 Gm38120 1 1 0 5 0 0
ENSMUSG00000102664 Gm38380 1 0 1 0 0 0
ENSMUSG00000101476 Gm29570 1 1 0 0 0 1
ENSMUSG00000101171 Gm7593 10 7 2 9 5 5
ENSMUSG00000025935 Tram1 4919 4800 4510 5686 4850 6424
ENSMUSG00000025937 Lactb2 1064 1120 1061 1356 1061 1413
ENSMUSG00000102982 Gm38319 0 0 2 5 7 5
ENSMUSG00000067813 Xkr9 335 272 260 390 284 275
ENSMUSG00000077368 Gm26273 0 0 0 0 0 0
ENSMUSG00000097711 Gm5523 6 7 9 3 2 10
ENSMUSG00000102166 Gm36947 0 0 0 0 0 0
ENSMUSG00000089358 Gm25491 0 0 0 0 0 0
ENSMUSG00000104209 Gm37400 0 0 0 0 0 0
ENSMUSG00000025932 Eya1 0 0 0 0 0 0
ENSMUSG00000095853 Gm22616 0 0 0 0 0 0
ENSMUSG00000102588 Gm37444 0 0 0 0 0 0
ENSMUSG00000054493 Gm9947 0 0 0 0 0 0
ENSMUSG00000025930 Msc 0 0 0 0 0 0
ENSMUSG00000103492 Gm37412 0 0 0 0 0 0
ENSMUSG00000081201 Smt3h2-ps4 0 0 0 0 0 0
ENSMUSG00000082193 Rpl5-ps1 8 7 9 7 4 3
ENSMUSG00000032769 Trpa1 1434 1634 1138 1827 1232 1806
ENSMUSG00000088159 Gm26345 0 0 0 0 0 0
ENSMUSG00000073737 Gm10566 0 1 1 1 2 1
ENSMUSG00000092083 Kcnb2 88 118 137 130 94 145
ENSMUSG00000102937 Gm38116 1 1 0 0 0 0
ENSMUSG00000104149 Gm37138 0 0 0 0 0 0
ENSMUSG00000088829 Gm25227 0 0 0 0 0 0
ENSMUSG00000077377 Gm25168 0 0 0 0 0 0
ENSMUSG00000101652 Gm6060 1 5 3 0 4 5
ENSMUSG00000100814 Gm28669 0 0 0 0 0 0
ENSMUSG00000025925 Terf1 1282 1104 1208 1456 1480 1862
ENSMUSG00000104379 Gm37509 2 2 3 5 2 10
ENSMUSG00000032719 Sbspon 3 0 1 3 0 1
ENSMUSG00000088943 Gm23259 0 0 0 0 0 0
ENSMUSG00000100652 Gm7634 17 7 15 13 9 14
ENSMUSG00000067795 4930444P10Rik 1 1 0 1 0 0
ENSMUSG00000043716 Rpl7 17291 16530 18125 21567 16216 20218
ENSMUSG00000025921 Rdh10 1499 1127 1217 1449 1292 1601
ENSMUSG00000104165 Gm38249 0 0 0 0 0 0
ENSMUSG00000100868 Gm28095 1 0 1 0 0 0
ENSMUSG00000025920 Stau2 850 919 964 1352 825 1170
ENSMUSG00000089982 Gm7568 0 0 0 0 0 0
ENSMUSG00000025939 Ube2w 471 500 507 604 474 654
ENSMUSG00000102457 Gm38342 0 2 6 4 1 2
ENSMUSG00000079658 Tceb1 1624 1439 1606 1970 1814 2073
ENSMUSG00000097744 D030040B21Rik 1 0 1 0 2 1
ENSMUSG00000100959 Gm7654 0 0 1 1 2 0
ENSMUSG00000025940 Tmem70 2737 2452 2530 3171 2964 3738
ENSMUSG00000025779 Ly96 92 106 104 146 100 129
ENSMUSG00000100093 Gm29649 0 0 0 0 0 0
ENSMUSG00000091020 Gm5828 0 3 1 1 1 1
ENSMUSG00000101640 Gm28376 0 0 1 0 1 0
ENSMUSG00000104133 4921511E07Rik 0 0 0 0 0 0
ENSMUSG00000042686 Jph1 11 7 29 17 6 9
ENSMUSG00000100110 Gm28783 0 0 0 0 0 0
ENSMUSG00000025777 Gdap1 0 0 2 0 0 1
ENSMUSG00000099899 Gm28784 0 0 0 0 0 0
ENSMUSG00000100272 Gm28785 0 0 0 0 0 0
ENSMUSG00000100398 Gm5251 0 0 0 0 0 0
ENSMUSG00000101589 Rbm6-ps1 15 7 9 23 13 12
ENSMUSG00000102048 Gm6075 0 2 1 3 3 1
ENSMUSG00000089534 Gm25166 0 0 0 0 0 0
ENSMUSG00000067780 Pi15 0 0 0 0 0 0
ENSMUSG00000100053 Gm28154 0 0 0 0 0 0
ENSMUSG00000085125 Gm16070 1 0 0 0 0 0
ENSMUSG00000025776 Crispld1 0 0 0 0 0 0
ENSMUSG00000099895 Gm28153 0 0 0 0 0 0
ENSMUSG00000100554 Gm7690 0 0 0 0 0 0
ENSMUSG00000099473 Gm18775 0 0 0 0 0 0
ENSMUSG00000099591 Gm17969 0 0 0 0 0 0
ENSMUSG00000102001 Gm28755 0 0 0 0 0 0
ENSMUSG00000101717 Gm28756 0 0 0 0 0 0
ENSMUSG00000025774 Crisp4 0 0 0 0 0 0
ENSMUSG00000070977 Defb44-ps 0 0 0 0 0 0
ENSMUSG00000073735 Defb18 0 0 0 0 0 0
ENSMUSG00000067773 Gm15386 0 0 0 0 0 0
ENSMUSG00000101685 Gm17837 0 0 0 0 1 0
ENSMUSG00000101738 Gm29006 0 0 0 0 0 0
ENSMUSG00000101306 Gm5252 0 0 0 0 0 0
ENSMUSG00000088800 Gm24075 0 0 0 0 0 0
ENSMUSG00000101644 Gm28343 0 0 0 0 0 0
ENSMUSG00000099433 Gm28344 0 0 0 0 0 0
ENSMUSG00000089787 Gm15825 0 0 0 0 0 0
ENSMUSG00000042596 Tfap2d 0 0 0 0 0 0
ENSMUSG00000100720 Gm10075 3 5 5 3 2 2
ENSMUSG00000025927 Tfap2b 0 0 0 0 0 0
ENSMUSG00000100538 Gm28340 0 0 0 0 0 0
ENSMUSG00000101117 Gm28341 0 0 0 0 0 0
ENSMUSG00000100204 Gm4849 2 4 3 4 6 8
ENSMUSG00000084668 Gm24633 0 0 0 0 0 0
ENSMUSG00000102597 Gm38382 0 0 0 0 0 0
ENSMUSG00000043760 Pkhd1 37 14 10 49 30 24
ENSMUSG00000104095 Gm37315 0 0 0 0 0 0
ENSMUSG00000089914 4930486I03Rik 0 0 0 0 0 0
ENSMUSG00000090142 Gm15795 1 0 0 0 0 0
ENSMUSG00000070175 Gm24162 0 0 0 0 0 0
ENSMUSG00000065559 Mir206 0 0 0 0 0 0
ENSMUSG00000099906 Gm28653 0 0 0 0 0 0
ENSMUSG00000065480 Mir133b 0 0 0 0 0 0
ENSMUSG00000025929 Il17a 0 0 0 0 0 0
ENSMUSG00000041872 Il17f 1 0 2 1 2 2
ENSMUSG00000041859 Mcm3 7889 6399 7039 10332 8678 11193
ENSMUSG00000099714 Gm20587 0 0 0 0 0 0
ENSMUSG00000102121 Gm28065 0 0 0 0 0 0
ENSMUSG00000088858 Gm24723 0 0 0 0 0 0
ENSMUSG00000097934 6720483E21Rik 5 1 3 0 4 2
ENSMUSG00000025931 Paqr8 245 174 146 201 183 214
ENSMUSG00000077314 Gm24171 0 0 0 0 0 0
ENSMUSG00000100929 Gm28064 0 0 0 0 0 0
ENSMUSG00000041809 Efhc1 0 3 7 2 0 2
ENSMUSG00000041779 Tram2 146 122 136 192 118 237
ENSMUSG00000099971 Gm28287 0 0 0 0 0 0
ENSMUSG00000100819 Gm2693 7 1 4 3 11 3
ENSMUSG00000025933 Tmem14a 101 124 133 136 105 148
ENSMUSG00000102633 Gm38224 0 0 0 0 0 0
ENSMUSG00000025934 Gsta3 135 184 277 114 43 191
ENSMUSG00000099343 Gm28836 1 0 3 2 0 2
ENSMUSG00000096375 Gm7094 0 2 0 0 0 0
ENSMUSG00000025936 Gm4956 0 0 0 0 0 0
ENSMUSG00000093963 Gm21909 0 0 0 0 0 0
ENSMUSG00000067750 Khdc1a 5 2 5 0 4 0
ENSMUSG00000086194 Gm16329 0 0 0 0 0 0
ENSMUSG00000094436 Gm16327 0 0 0 0 0 0
ENSMUSG00000041722 Khdc1c 0 0 0 0 0 0
ENSMUSG00000085507 Gm2709 0 0 0 0 0 0
ENSMUSG00000094926 Gm16533 0 0 0 0 0 0
ENSMUSG00000085079 Khdc1b 1 0 0 0 0 0
ENSMUSG00000085679 Gm16328 0 0 0 0 0 0
ENSMUSG00000028033 Kcnq5 0 2 0 0 0 0
ENSMUSG00000104138 Gm36949 0 0 0 0 0 0
ENSMUSG00000082935 Gm7658 1 4 7 6 11 6
ENSMUSG00000103748 Gm38243 0 0 0 0 0 0
ENSMUSG00000097109 Gm26580 0 0 0 0 0 0
ENSMUSG00000099692 Gm5696 4 0 0 1 0 1
ENSMUSG00000100418 Gm28239 0 0 0 0 0 1
ENSMUSG00000041670 Rims1 0 3 1 0 0 1
ENSMUSG00000097642 Gm26866 0 0 0 0 0 0
ENSMUSG00000101468 Gm7761 0 0 0 0 0 0
ENSMUSG00000101227 Gm29506 0 0 0 0 0 0
ENSMUSG00000073730 4933415F23Rik 0 0 0 0 0 0
ENSMUSG00000089553 Gm24176 0 0 0 0 0 0
ENSMUSG00000102766 Gm6420 0 0 0 0 0 1
ENSMUSG00000065405 Mir30a 0 0 0 0 0 0
ENSMUSG00000097970 Gm27028 2 2 1 2 0 7
ENSMUSG00000065567 Mir30c-2 0 0 0 0 0 0
ENSMUSG00000100775 Gm29107 0 0 0 0 1 1
ENSMUSG00000101226 Gm20954 0 0 0 0 0 0
ENSMUSG00000026158 Ogfrl1 12 14 16 10 15 20
ENSMUSG00000097920 Gm7784 8 0 8 2 3 4
ENSMUSG00000099503 Gm28822 0 0 0 0 0 0
ENSMUSG00000026156 B3gat2 0 0 0 0 1 0
ENSMUSG00000026155 Smap1 2898 2620 2776 3485 2771 3900
ENSMUSG00000026154 Sdhaf4 420 436 488 544 442 551
ENSMUSG00000102495 Gm26524 0 0 0 0 0 2
ENSMUSG00000026153 Fam135a 3489 3262 3845 4339 3263 4554
ENSMUSG00000102398 Gm37580 5 13 11 7 8 20
ENSMUSG00000097670 Gm26607 0 0 0 0 0 0
ENSMUSG00000026147 Col9a1 5 17 15 11 11 11
ENSMUSG00000026141 Col19a1 0 2 0 0 1 0
ENSMUSG00000077463 Gm26418 0 0 0 0 0 0
ENSMUSG00000099997 Tubb4b-ps2 11 10 11 15 10 13
ENSMUSG00000100131 Gm28439 0 1 2 1 0 0
ENSMUSG00000067736 Gm10222 0 0 0 0 0 0
ENSMUSG00000101939 Gm28438 0 1 0 0 0 0
ENSMUSG00000101111 Gm28437 1 1 2 2 0 0
ENSMUSG00000100862 Gm10925 0 2 2 0 1 1
ENSMUSG00000102070 Gm28661 5 4 5 2 5 9
ENSMUSG00000101249 Gm29216 2 0 1 0 0 3
ENSMUSG00000073725 Lmbrd1 1727 1649 1790 2228 1584 2176
ENSMUSG00000100808 Gm28594 0 0 0 0 0 0
ENSMUSG00000100483 Gm28237 0 0 0 0 0 0
ENSMUSG00000100450 Gm9443 0 0 0 0 0 1
ENSMUSG00000099392 Gm29414 0 0 0 0 0 0
ENSMUSG00000033569 Adgrb3 0 0 0 0 0 0
ENSMUSG00000080849 Gm15702 0 0 0 0 0 0
ENSMUSG00000104257 Gm20172 0 0 0 0 0 0
ENSMUSG00000096866 Gm22260 0 0 0 0 0 0
ENSMUSG00000102296 Gm37543 0 0 0 0 0 0
ENSMUSG00000103209 Gm37331 0 0 0 0 0 0
ENSMUSG00000104027 Gm37211 0 0 0 0 0 0
ENSMUSG00000102407 Gm37862 0 0 0 0 0 0
ENSMUSG00000103214 Gm38286 0 0 0 0 0 0
ENSMUSG00000104100 Gm37880 0 0 0 0 0 0
ENSMUSG00000084740 Gm25294 0 0 0 0 0 0
ENSMUSG00000103889 Gm37011 0 0 0 0 0 0
ENSMUSG00000101301 Gm29214 0 2 0 1 0 2
ENSMUSG00000104221 Gm37051 0 0 0 0 0 0
ENSMUSG00000102250 Gm38260 0 0 0 0 0 0
ENSMUSG00000102317 Gm37628 0 0 0 0 2 0
ENSMUSG00000103563 8030445P17Rik 0 0 0 0 0 0
ENSMUSG00000102465 Gm38198 0 0 0 0 0 0
ENSMUSG00000102659 Gm37077 0 0 0 0 0 0
ENSMUSG00000103924 Gm37895 0 0 0 0 0 0
ENSMUSG00000104132 Gm36952 0 0 0 0 0 0
ENSMUSG00000102747 Gm37602 0 0 0 0 0 0
ENSMUSG00000102386 2900022M07Rik 0 0 0 0 0 0
ENSMUSG00000103004 2900002M20Rik 0 0 0 0 0 0
ENSMUSG00000104516 Gm9884 0 0 0 0 0 0
ENSMUSG00000101618 Gm18443 0 0 0 0 0 0
ENSMUSG00000099458 Gm19123 0 0 0 0 0 0
ENSMUSG00000088111 Gm24064 0 0 0 0 0 0
ENSMUSG00000073722 4931408C20Rik 0 0 0 0 0 0
ENSMUSG00000095256 n-R5s209 0 0 0 0 0 0
ENSMUSG00000100310 Gm19641 0 0 0 0 0 0
ENSMUSG00000101514 Gm5524 0 0 0 0 0 0
ENSMUSG00000101033 Gm18776 0 0 0 0 0 0
ENSMUSG00000101372 Gm19028 1 2 1 1 1 2
ENSMUSG00000103241 Gm38089 0 0 0 0 0 0
ENSMUSG00000086240 Gm7846 0 2 3 1 2 1
ENSMUSG00000048411 Gm597 0 0 0 0 0 0
ENSMUSG00000081557 Gm5697 1 1 1 1 0 2
ENSMUSG00000058590 Gm6462 0 0 0 0 0 0
ENSMUSG00000101235 Gm18033 0 0 1 0 0 0
ENSMUSG00000064433 Gm25586 0 0 0 0 0 0
ENSMUSG00000080625 Gm22679 0 0 0 0 0 0
ENSMUSG00000080391 Gm23785 0 0 0 0 0 0
ENSMUSG00000099257 Mir6342 0 0 0 0 0 0
ENSMUSG00000099492 Gm5525 11 4 4 15 7 7
ENSMUSG00000101726 Gm7858 1 2 2 0 1 0
ENSMUSG00000096829 Gm23771 0 0 0 0 0 0
ENSMUSG00000098883 Gm27430 0 0 0 0 0 0
ENSMUSG00000053185 Gm9898 0 0 0 0 0 0
ENSMUSG00000100261 Gm6473 0 2 2 1 2 1
ENSMUSG00000101180 Gm2914 4 1 0 1 2 1
ENSMUSG00000048874 Phf3 4577 3894 4355 5340 4304 5782
ENSMUSG00000103783 Gm37522 0 0 0 2 0 1
ENSMUSG00000104315 Gm37906 2 2 4 2 5 4
ENSMUSG00000026064 Ptp4a1 1040 521 621 781 726 979
ENSMUSG00000086151 Gm5698 2 3 1 0 0 0
ENSMUSG00000086726 Gm9458 3 1 2 4 3 2
ENSMUSG00000087346 Gm5699 42 11 18 23 17 14
ENSMUSG00000100371 Gm29669 0 1 0 0 0 0
ENSMUSG00000100237 Gm28644 0 0 0 0 0 0
ENSMUSG00000098529 Gm27362 0 0 0 0 0 0
ENSMUSG00000086727 4931428L18Rik 0 0 0 0 0 0
ENSMUSG00000100910 Gm29128 0 0 0 0 0 0
ENSMUSG00000099796 Gm7893 1 1 0 0 0 0
ENSMUSG00000050217 Lgsn 0 0 0 0 0 0
ENSMUSG00000026063 Pih1d3 0 0 0 0 0 0
ENSMUSG00000077664 Gm26145 0 0 0 0 0 0
ENSMUSG00000100205 Gm4850 0 0 0 0 0 0
ENSMUSG00000100592 Gm28645 0 0 0 0 0 0
ENSMUSG00000094215 Gm6489 0 0 0 0 1 0
ENSMUSG00000101093 Gm10307 0 0 0 0 0 0
ENSMUSG00000070960 Gm19680 4 4 3 2 2 2
ENSMUSG00000088620 Gm23032 0 0 0 0 0 0
ENSMUSG00000082159 Gm7910 0 0 0 0 0 0
ENSMUSG00000026058 Khdrbs2 0 0 0 0 0 0
ENSMUSG00000064688 Gm25814 0 0 0 0 0 0
ENSMUSG00000103482 Gm37999 0 0 0 0 0 0
ENSMUSG00000104498 Gm37110 0 0 0 0 0 0
ENSMUSG00000104313 Gm37911 0 0 0 0 0 0
ENSMUSG00000102865 Gm9839 0 0 0 0 0 0
ENSMUSG00000102321 Gm37792 0 0 0 0 0 0
ENSMUSG00000091318 Gm5415 0 0 0 0 0 0
ENSMUSG00000089489 Gm24732 0 0 0 0 0 0
ENSMUSG00000104433 Gm37426 0 0 0 0 0 0
ENSMUSG00000089395 Gm23024 0 0 0 0 0 0
ENSMUSG00000102926 Gm37151 0 0 0 0 0 0
ENSMUSG00000100497 Gm28624 0 0 0 0 0 0
ENSMUSG00000102917 Gm37724 0 0 0 0 0 0
ENSMUSG00000100481 Gm7114 2 0 2 0 1 1
ENSMUSG00000100590 Gm4785 0 0 1 0 0 0
ENSMUSG00000088750 Gm24901 0 0 0 0 0 0
ENSMUSG00000104230 Gm37591 0 0 0 0 0 0
ENSMUSG00000101754 Gm2987 0 0 0 0 0 0
ENSMUSG00000065223 Gm25792 0 0 0 0 0 0
ENSMUSG00000100318 Gm18799 0 0 0 0 0 0
ENSMUSG00000101612 Gm7933 1 0 0 0 0 0
ENSMUSG00000065260 Gm23453 0 0 0 0 0 0
ENSMUSG00000026134 Prim2 1104 1113 1073 1653 1192 1529
ENSMUSG00000101682 Gm29228 2 0 3 0 0 1
ENSMUSG00000102714 Gm37618 2 0 0 0 3 0
ENSMUSG00000102093 Gm17813 0 0 0 0 0 0
ENSMUSG00000103746 1700001G17Rik 8 15 12 20 14 10
ENSMUSG00000102198 Gm38173 0 0 0 0 0 0
ENSMUSG00000004768 Rab23 364 289 310 390 345 523
ENSMUSG00000042215 Bag2 287 209 228 335 307 387
ENSMUSG00000103072 Gm37905 0 0 0 0 0 0
ENSMUSG00000042197 Zfp451 1259 992 1170 1451 1122 1605
ENSMUSG00000081402 Gm15455 12 11 5 4 7 10
