pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
HALLMARK_HEME_METABOLISM	0.1348314606741573	0.1926163723916533	-0.28497165128853624	-1.197556722867299	83	176	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.2	0.2380952380952381	-0.3680677286272129	-1.1999318416155589	112	40	
HALLMARK_KRAS_SIGNALING_UP	0.11954765751211632	0.18679321486268174	-0.2885839296708555	-1.2081580891605064	73	171	
HALLMARK_FATTY_ACID_METABOLISM	0.10789049919484701	0.17981749865807836	-0.2968438513442467	-1.2200091218498834	66	152	
HALLMARK_ANDROGEN_RESPONSE	0.13379073756432247	0.1926163723916533	-0.31615222352742256	-1.2264938421166176	77	104	
HALLMARK_BILE_ACID_METABOLISM	0.11320754716981132	0.1825928180158247	-0.3241219048807655	-1.2574117493021062	65	104	
HALLMARK_ANGIOGENESIS	0.17328519855595667	0.22216051096917525	-0.42388453746116417	-1.2675515230322412	95	27	
HALLMARK_HEDGEHOG_SIGNALING	0.14156079854809436	0.1966122202056866	-0.40584452236019714	-1.27263925368899	77	35	
HALLMARK_ESTROGEN_RESPONSE_LATE	0.06645056726094004	0.11456994355334488	-0.30339904092303366	-1.2755443939577145	40	188	
HALLMARK_UV_RESPONSE_DN	0.045	0.08185787048265827	-0.3390480835409041	-1.3636284636637093	26	132	
HALLMARK_PEROXISOME	0.04584040747028863	0.08185787048265827	-0.3549203106983105	-1.364369748211277	26	98	
HALLMARK_GLYCOLYSIS	0.011382113821138212	0.02710027100271003	-0.34356691550980073	-1.4473486740146697	6	193	
HALLMARK_XENOBIOTIC_METABOLISM	0.012987012987012988	0.029515938606847703	-0.34478861226824165	-1.4482251987502903	7	187	
HALLMARK_COAGULATION	0.008445945945945946	0.022226173541963018	-0.39146234328238827	-1.5538747576475482	4	122	
HALLMARK_HYPOXIA	0.003215434083601286	0.010146103896103896	-0.37221918379016483	-1.5661278689716254	1	180	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.003246753246753247	0.010146103896103896	-0.3837768256342532	-1.6075615147744342	1	169	
HALLMARK_PANCREAS_BETA_CELLS	0.010657193605683837	0.026642984014209593	-0.5241329785286377	-1.6800144549728442	5	38	
HALLMARK_KRAS_SIGNALING_DN	0.0016638935108153079	0.009549274255156608	-0.41539628494944053	-1.6907015320270342	0	148	
