pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
HALLMARK_ANDROGEN_RESPONSE	0.025396825396825397	0.03968253968253968	0.3894042576200437	1.4204282487430755	15	97	
HALLMARK_PANCREAS_BETA_CELLS	0.06422018348623854	0.09444144630329197	0.4559024496067657	1.40313905798857	34	37	
HALLMARK_ANGIOGENESIS	0.07806691449814127	0.11152416356877323	0.4854012121690347	1.3996874957309668	41	27	
HALLMARK_IL2_STAT5_SIGNALING	0.027906976744186046	0.042283298097251586	0.3401336666852447	1.3476260654569476	17	176	
HALLMARK_PROTEIN_SECRETION	0.1296	0.17513513513513512	0.3400002466037976	1.2298659589808263	80	93	
HALLMARK_MYC_TARGETS_V2	0.2751322751322751	0.33552716479545747	0.33806043121438717	1.1248830412964448	155	58	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.22442748091603054	0.28053435114503816	0.28651381774065404	1.1215908911555328	146	162	
HALLMARK_HEDGEHOG_SIGNALING	0.2975970425138632	0.3542821934688848	0.3696147519949084	1.109903478040133	160	34	
HALLMARK_GLYCOLYSIS	0.3201820940819423	0.3723047605603981	0.2653700579198195	1.065290555426064	210	191	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.4072072072072072	0.4627354627354628	0.32576445884030225	1.0425083427155066	225	46	
HALLMARK_DNA_REPAIR	0.43302180685358255	0.4811353409484251	0.2633890861048863	1.0116084259715667	277	145	
HALLMARK_UV_RESPONSE_DN	0.4539781591263651	0.49345452078952723	0.2619303993800173	0.9943679272800745	290	134	
HALLMARK_NOTCH_SIGNALING	0.604735883424408	0.6299332119004251	0.30462064922655047	0.8978563349407386	331	30	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.7693693693693694	0.7850707850707851	0.2551963457136354	0.8068535746073032	426	41	
HALLMARK_APICAL_SURFACE	0.8344519015659956	0.8344519015659956	-0.2321736098066538	-0.7803682590003557	372	41	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.592391304347826	0.6299332119004251	-0.23850563541152944	-0.9400228010433376	217	101	
HALLMARK_KRAS_SIGNALING_DN	0.18624641833810887	0.2387774594078319	-0.27356929209811875	-1.1375539367881815	64	156	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.1780821917808219	0.23431867339581833	-0.28948450513471347	-1.1464716890472535	64	109	
HALLMARK_MTORC1_SIGNALING	0.08849557522123894	0.12291052114060963	-0.2742590705692991	-1.1660039074173199	29	196	
HALLMARK_MITOTIC_SPINDLE	0.017699115044247787	0.029498525073746312	-0.3198664693321752	-1.3599023445930427	5	196	
HALLMARK_TGF_BETA_SIGNALING	0.01839080459770115	0.029662588060808303	-0.42728446138321546	-1.5138276752889772	7	52	
HALLMARK_SPERMATOGENESIS	0.00546448087431694	0.01138433515482696	-0.3968928492599277	-1.5679041704968912	1	107	
HALLMARK_HYPOXIA	0.002840909090909091	0.007751937984496124	-0.3932472474003655	-1.6644577426813167	0	181	
HALLMARK_MYC_TARGETS_V1	0.0029498525073746312	0.007751937984496124	-0.4230881767284086	-1.8026574598617675	0	199	
HALLMARK_E2F_TARGETS	0.0029498525073746312	0.007751937984496124	-0.5587169685226326	-2.372462533683146	0	194	
HALLMARK_G2M_CHECKPOINT	0.0029154518950437317	0.007751937984496124	-0.5639564414531649	-2.3860456561647276	0	187	
