gs_cat,gs_subcat,gs_name,gene_symbol,entrez_gene,ensembl_gene,human_gene_symbol,human_entrez_gene,human_ensembl_gene,gs_id,gs_pmid,gs_geoid,gs_exact_source,gs_url,gs_description,taxon_id,ortholog_sources,num_ortholog_sources
H,"",HALLMARK_ALLOGRAFT_REJECTION,Ccl4,20303,ENSMUSG00000018930,CCL4,6351,ENSG00000275302,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,Ensembl|HGNC|HomoloGene|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB,8
H,"",HALLMARK_ALLOGRAFT_REJECTION,Ccl5,20304,ENSMUSG00000035042,CCL5,6352,ENSG00000271503,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|HGNC|HomoloGene|Inparanoid|NCBI|Panther|PhylomeDB,7
H,"",HALLMARK_ALLOGRAFT_REJECTION,Ccl7,20306,ENSMUSG00000035373,CCL7,6354,ENSG00000108688,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|OMA|OrthoDB|Panther|PhylomeDB|Treefam,8
H,"",HALLMARK_ALLOGRAFT_REJECTION,Ccnd2,12444,ENSMUSG00000000184,CCND2,894,ENSG00000118971,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Ccnd3,12445,ENSMUSG00000034165,CCND3,896,ENSG00000112576,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Ccr1,12768,ENSMUSG00000025804,CCR1,1230,ENSG00000163823,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,Ensembl|HGNC|HomoloGene|Inparanoid|OMA|OrthoDB|OrthoMCL|Panther|Treefam,9
H,"",HALLMARK_ALLOGRAFT_REJECTION,Ccr2,12772,ENSMUSG00000049103,CCR2,729230,ENSG00000121807,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,Ensembl|HGNC|HomoloGene|NCBI|OMA|OrthoDB|OrthoMCL|Treefam,8
H,"",HALLMARK_ALLOGRAFT_REJECTION,Ccr5,12774,ENSMUSG00000079227,CCR5,1234,ENSG00000160791,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|OMA|OrthoDB|OrthoMCL|Panther,9
H,"",HALLMARK_ALLOGRAFT_REJECTION,Cd1d1,12479,ENSMUSG00000028076,CD1D,912,ENSG00000158473,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,Ensembl|HGNC|HomoloGene|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,9
H,"",HALLMARK_ALLOGRAFT_REJECTION,Cd2,12481,ENSMUSG00000027863,CD2,914,ENSG00000116824,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Cd247,12503,ENSMUSG00000005763,CD247,919,ENSG00000198821,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Cd28,12487,ENSMUSG00000026012,CD28,940,ENSG00000178562,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_ALLOGRAFT_REJECTION,Cd3d,12500,ENSMUSG00000032094,CD3D,915,ENSG00000167286,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Cd3e,12501,ENSMUSG00000032093,CD3E,916,ENSG00000198851,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Cd3g,12502,ENSMUSG00000002033,CD3G,917,ENSG00000160654,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Cd4,12504,ENSMUSG00000023274,CD4,920,ENSG00000010610,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Cd40,21939,ENSMUSG00000017652,CD40,958,ENSG00000101017,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoMCL|Panther|PhylomeDB|Treefam,11
H,"",HALLMARK_ALLOGRAFT_REJECTION,Cd40lg,21947,ENSMUSG00000031132,CD40LG,959,ENSG00000102245,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Cd47,16423,ENSMUSG00000055447,CD47,961,ENSG00000196776,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Cd7,12516,ENSMUSG00000025163,CD7,924,ENSG00000173762,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Cd74,16149,ENSMUSG00000024610,CD74,972,ENSG00000019582,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Cd79a,12518,ENSMUSG00000003379,CD79A,973,ENSG00000105369,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Cd80,12519,ENSMUSG00000075122,CD80,941,ENSG00000121594,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Cd86,12524,ENSMUSG00000022901,CD86,942,ENSG00000114013,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Cd8a,12525,ENSMUSG00000053977,CD8A,925,ENSG00000153563,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Cd8b1,12526,ENSMUSG00000053044,CD8B,926,ENSG00000172116,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,11
H,"",HALLMARK_ALLOGRAFT_REJECTION,Cd96,84544,ENSMUSG00000022657,CD96,10225,ENSG00000153283,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_ALLOGRAFT_REJECTION,Cdkn2a,12578,ENSMUSG00000044303,CDKN2A,1029,ENSG00000147889,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,HGNC|HomoloGene|Treefam,3
H,"",HALLMARK_ALLOGRAFT_REJECTION,Cfp,18636,ENSMUSG00000001128,CFP,5199,ENSG00000126759,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Crtam,54698,ENSMUSG00000032021,CRTAM,56253,ENSG00000109943,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Csf1,12977,ENSMUSG00000014599,CSF1,1435,ENSG00000184371,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Csk,12988,ENSMUSG00000032312,CSK,1445,ENSG00000103653,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_ALLOGRAFT_REJECTION,Ctss,13040,ENSMUSG00000038642,CTSS,1520,ENSG00000163131,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Cxcl13,55985,ENSMUSG00000023078,CXCL13,10563,ENSG00000156234,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Cxcl9,17329,ENSMUSG00000029417,CXCL9,4283,ENSG00000138755,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,10
H,"",HALLMARK_ALLOGRAFT_REJECTION,Cxcr3,12766,ENSMUSG00000050232,CXCR3,2833,ENSG00000186810,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Dars,226414,ENSMUSG00000026356,DARS1,1615,ENSG00000115866,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_ALLOGRAFT_REJECTION,Degs1,13244,ENSMUSG00000038633,DEGS1,8560,ENSG00000143753,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Dyrk3,226419,ENSMUSG00000016526,DYRK3,8444,ENSG00000143479,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Egfr,13649,ENSMUSG00000020122,EGFR,1956,ENSG00000146648,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Eif3a,13669,ENSMUSG00000024991,EIF3A,8661,ENSG00000107581,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_ALLOGRAFT_REJECTION,Eif3d,55944,ENSMUSG00000016554,EIF3D,8664,ENSG00000100353,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Eif3j1,78655,ENSMUSG00000027236,EIF3J,8669,ENSG00000104131,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,Ensembl|HGNC|HomoloGene|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,10
H,"",HALLMARK_ALLOGRAFT_REJECTION,Eif3j2,100042807,ENSMUSG00000043424,EIF3J,8669,ENSG00000104131,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HomoloGene|Inparanoid|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,10
H,"",HALLMARK_ALLOGRAFT_REJECTION,Eif4g3,230861,ENSMUSG00000028760,EIF4G3,8672,ENSG00000075151,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther,10
H,"",HALLMARK_ALLOGRAFT_REJECTION,Eif5a,276770,ENSMUSG00000078812,EIF5A,1984,ENSG00000132507,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam,10
H,"",HALLMARK_ALLOGRAFT_REJECTION,Elane,50701,ENSMUSG00000020125,ELANE,1991,ENSG00000197561,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Elf4,56501,ENSMUSG00000031103,ELF4,2000,ENSG00000102034,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_ALLOGRAFT_REJECTION,Ereg,13874,ENSMUSG00000029377,EREG,2069,ENSG00000124882,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Ets1,23871,ENSMUSG00000032035,ETS1,2113,ENSG00000134954,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,F2,14061,ENSMUSG00000027249,F2,2147,ENSG00000180210,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,F2r,14062,ENSMUSG00000048376,F2R,2149,ENSG00000181104,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Fas,14102,ENSMUSG00000024778,FAS,355,ENSG00000026103,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_ALLOGRAFT_REJECTION,Fasl,14103,ENSMUSG00000000817,FASLG,356,ENSG00000117560,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,11
H,"",HALLMARK_ALLOGRAFT_REJECTION,Fcgr2b,14130,ENSMUSG00000026656,FCGR2B,2213,ENSG00000072694,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HomoloGene|OMA|OrthoDB|OrthoMCL|Panther|Treefam,8
H,"",HALLMARK_ALLOGRAFT_REJECTION,Fgr,14191,ENSMUSG00000028874,FGR,2268,ENSG00000000938,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_ALLOGRAFT_REJECTION,Flna,192176,ENSMUSG00000031328,FLNA,2316,ENSG00000196924,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_ALLOGRAFT_REJECTION,Fyb,23880,ENSMUSG00000022148,FYB1,2533,ENSG00000082074,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,11
H,"",HALLMARK_ALLOGRAFT_REJECTION,Galnt1,14423,ENSMUSG00000000420,GALNT1,2589,ENSG00000141429,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB,11
H,"",HALLMARK_ALLOGRAFT_REJECTION,Gbp2,14469,ENSMUSG00000028270,GBP2,2634,ENSG00000162645,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,Ensembl|HomoloGene|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,8
H,"",HALLMARK_ALLOGRAFT_REJECTION,Gcnt1,14537,ENSMUSG00000038843,GCNT1,2650,ENSG00000187210,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther,10
H,"",HALLMARK_ALLOGRAFT_REJECTION,Glmn,170823,ENSMUSG00000029276,GLMN,11146,ENSG00000174842,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Gpr65,14744,ENSMUSG00000021886,GPR65,8477,ENSG00000140030,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_ALLOGRAFT_REJECTION,Gzma,14938,ENSMUSG00000023132,GZMA,3001,ENSG00000145649,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
